Frequency (Hz)	Z' (Ω)	-Z'' (Ω)
100000	76.2542270893738	2.1098683191961
79433	76.661673825186	2.04880062756702
63096	77.0161524258486	2.01444311525362
50119	77.2529965566854	2.0244522090364
39811	77.5729880408636	2.11195813680953
31623	77.8063347880023	2.24195573564595
25119	78.1203214740865	2.42535280654138
19953	78.4875044620324	2.62593193584958
15849	78.9218314202266	2.89992752601008
12589	79.4321867907795	3.08003703153958
10000	80.0838163981319	3.19905486484973
7943.3	80.7398368498168	3.21577509835977
6309.6	81.3673348408555	3.15470430707186
5011.9	81.9909422758965	2.98932176404548
3981.1	82.5208999018668	2.72171707614529
3162.3	82.9711607821295	2.42526422827338
2511.9	83.3866815232255	2.12680399318218
1995.3	83.7097771164381	1.83044400954886
1584.9	83.9585588897701	1.56646185780424
1258.9	84.1516211218671	1.35483495452591
1000	84.2855726118898	1.11786583644047
794.33	84.4482116758413	0.856971099581121
630.96	84.5320236226169	0.705444593083241
501.19	84.6181115897604	0.467858948101439
398.11	84.6848158779221	0.282172939330849
316.23	84.7264367114889	0.158957159464561
251.19	84.8125619160078	-0.0917905720699829
199.53	84.7028985340737	-0.243010844949916
158.49	84.7290709674591	-0.457427061035031
125.89	84.6503626732815	-0.716421263812972
100	84.5517829251518	-0.933191462937165
79.433	84.4890417021761	-1.27129326639163
63.096	84.3203454546585	-1.47858709041824
50.119	84.1487059206796	-1.89455450604961
39.811	83.7085256301151	-2.57383982477458
31.623	83.1536293506963	-3.18170386650842
25.119	82.5248268365415	-3.5181733346589
19.953	81.6930163640015	-3.8719947338571
15.849	81.1214961535595	-4.18478281134193
12.589	80.3383901683748	-4.08316342675768
10	80.0846726370083	-3.92700899298102
7.9433	79.150462370834	-4.24759495706181
6.3096	78.6566501511936	-4.42814579394612
5.0119	77.7529106947013	-4.45267923482895
3.9811	77.0493569649804	-4.27179381593087
3.1623	76.6004368539106	-4.36516460554286
2.5119	75.934191279803	-4.39220843592457
1.9953	75.3071041594852	-4.35668595272221
1.5849	74.3329985188429	-4.61948833459953
1.2589	74.0826284352637	-4.290143463743
1	73.4803994677117	-4.10596525400832
